C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155205_FhVXEHazifnMJWKF.png,2

C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155211_hmhPmlxLCLmSKQWr.png,0

C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155216_RVGlckQalMKdILlx.png,1

C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155222_moLAmvflDFyghuxV.png,1

C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155228_KQxDqEuZSKwOXJkQ.png,1

C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155234_LaQyUkfanOlESIHs.png,2

C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155240_obDAKxshNeHOmZnR.png,1

C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155245_ZByGWpkxTFbpZpdu.png,2

C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155251_FkfxPMrkWozWRcBc.png,2

C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155257_wfjwyUaoRXZJaPXU.png,0

C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155303_ggYjWdGcrPHZXRie.png,1

C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155309_kchZsKhBTwWxdxHO.png,2

C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155315_nApTAaunnWZFWYEd.png,1

C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155321_pIZLYxRTUrjpeCuR.png,0

C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155327_VyRGRtWQopdVyBGU.png,0

C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155333_bzEwrxZnjuTzuJjG.png,0

C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155339_iiWFwQNiPVCqmSsR.png,1

C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155345_PjUfuFgnBknownPs.png,2

C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155350_jqHEykKWKzkHSOmt.png,1

C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155356_gIAhOQjeTNZXYFXy.png,1

C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155402_rcjlUrdBXbkLBIpU.png,1

C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155408_SileaMVXqwIVjKjT.png,0

C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155414_uNzUQhaoMsKnaqFZ.png,1

C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155419_wzGdsuygLjhhqIIi.png,2

C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155425_HVLUZvekikgoCVxz.png,1

C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155431_QzKpmvicBZZgPFwG.png,0

C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155437_VSSgOkDASgodJVda.png,2

C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155443_gBCNiZLoLeUxNdNf.png,0

C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155449_jegpClqjnMKtaaUb.png,0

C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155455_xwKbatjXFloFpRLd.png,1

C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155501_xmZCuZxsPEKNieXD.png,1

C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823155507_HnOMJAuuSFCBLqjS.png,1

