C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823163131_hGbtVUDUfYitjXNj.png,1
C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823163137_otyuwiFUsGUShmhw.png,1
C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823163143_icyiGSHdycsAptHZ.png,1
C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823163149_BtNBSRwqNItcjbNp.png,1
C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823163155_qvtQgmfxkNHvXRdg.png,1
C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823163201_CJkWRSNMWAGeHLym.png,1
C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823163207_JBBkyheZjwRRakEg.png,1
C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823163213_GOmpFkvqqdSOLWLT.png,1
C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823163220_UAaPpkvONomzjVFn.png,1
C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823163226_XRiSbeipRNoZJZRT.png,1
C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823163231_JjBfPTGIezPSIFIU.png,1
C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823163237_bjmxNEeizrKsZyOf.png,1
C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823163243_beUyVILnrXadNiBf.png,1
C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823163249_SlYwvKWFlhilDjnD.png,1
C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823163255_iytejIMgBMfJqINn.png,1
C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823163301_WLvuzBpYinrEpUGw.png,1
C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823163307_KFINVpRoPiQFBdWB.png,1
C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823163313_YoBZrYMmHnLmKGlG.png,1
C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823163319_EMOaGbAmxNcYItur.png,1
C:\Users\USUARIO\Documents\tradebot-master\tradebot-master\results75n/20230823163325_aYcnKvTQoOmxzeuI.png,1
